SysTime,GameTime,Event
21:53:43.561,33.42665,show Pattern D Right
21:53:55.335,45.20256,hide Pattern D Right
21:53:55.847,45.71452,show Pattern D Right
21:54:01.504,51.37087,hide Pattern D Right
21:54:02.047,51.91403,show Pattern D Left
21:54:06.161,56.02766,hide Pattern D Left
21:54:07.159,57.02581,show Pattern E Right
21:54:11.747,61.61468,hide Pattern E Right
21:54:12.581,62.44812,show Pattern A Left
21:54:15.303,65.17033,hide Pattern A Left
21:54:16.704,66.57083,show Pattern D Left
21:54:23.236,73.10289,hide Pattern D Left
21:54:23.660,73.52757,show Pattern B Right
21:54:25.469,75.33617,hide Pattern B Right
21:54:26.435,76.30268,show Pattern E Left
21:54:28.359,78.22649,hide Pattern E Left
21:54:28.892,78.75893,show Pattern A Right
21:54:39.422,89.28912,hide Pattern A Right
21:54:39.836,89.70333,show Pattern A Right
21:54:40.183,90.05062,hide Pattern A Right
21:54:40.493,90.36054,show Pattern C Right
21:54:40.740,90.60821,hide Pattern C Right
21:54:41.059,90.9257,show Pattern A Left
21:54:41.313,91.18069,hide Pattern A Left
21:54:41.570,91.43717,show Pattern C Left
21:54:41.841,91.70882,hide Pattern C Left
21:54:42.114,91.98084,show Pattern E Right
21:54:42.392,92.25922,hide Pattern E Right
21:54:42.602,92.46933,show Pattern C Left
21:54:42.815,92.68288,hide Pattern C Left
21:54:43.061,92.9285,show Pattern E Left
21:54:43.263,93.13017,hide Pattern E Left
21:54:43.461,93.32759,show Pattern B Right
21:54:43.638,93.50552,hide Pattern B Right
21:54:43.838,93.70438,show Pattern B Left
21:54:44.004,93.8716,hide Pattern B Left
21:54:44.182,94.04967,show Pattern C Right
21:54:44.380,94.24714,hide Pattern C Right
21:54:44.561,94.42818,show Pattern B Left
21:54:44.771,94.63838,hide Pattern B Left
