SysTime,GameTime,Event
18:34:16.148,8.65532,show Pattern D Right
18:34:19.607,12.11621,hide Pattern D Right
18:34:20.186,12.69404,show Pattern A Left
18:34:20.721,13.22919,hide Pattern A Left
18:34:21.065,13.57347,show Practice Left
18:34:21.422,13.93029,hide Practice Left
18:34:21.910,14.41835,show Practice Right
18:34:22.234,14.7419,hide Practice Right
18:34:22.422,14.93034,show Pattern C Right
18:34:22.644,15.15267,hide Pattern C Right
18:34:22.867,15.37488,show Pattern A Right
18:34:23.078,15.5861,hide Pattern A Right
18:34:23.246,15.75421,show Pattern C Left
18:34:23.407,15.91548,hide Pattern C Left
18:34:23.565,16.07291,show Pattern E Right
18:34:23.725,16.2336,hide Pattern E Right
18:34:23.870,16.3778,show Pattern B Left
18:34:24.028,16.5366,hide Pattern B Left
18:34:24.172,16.68069,show Pattern D Right
18:34:24.317,16.8258,hide Pattern D Right
18:34:24.473,16.98104,show Pattern E Right
18:34:24.607,17.11543,hide Pattern E Right
18:34:24.763,17.27109,show Pattern C Left
18:34:24.907,17.41617,hide Pattern C Left
18:34:25.055,17.56314,show Pattern B Right
18:34:25.167,17.67583,hide Pattern B Right
18:34:25.289,17.79794,show Pattern B Left
